,distance_m
010125,7122.42238491197
010126,7446.350057001458
040070,5186.408539520776
040072,5031.751978910233
040073,4451.4873372121165
040079,5199.127255170521
070139,4700.491244433733
070148,3180.1231842829734
070152,4718.284544865277
070153,3460.506020389574
080226,12222.017792433258
080227,12827.614895710958
080228,11445.340374382635
080230,13627.653420944225
090223,7353.924381593523
090224,6349.147874218322
090226,10167.368715301145
090227,11462.408295238372
090234,5179.093842416035
1000032,5717.400254508174
1000034,4923.588719125859
1000131,5010.6577100059585
1000145,5656.968520551378
100218,8917.096085757428
100219,9696.292026181703
100220,9247.139650261324
100222,8000.647876185918
100223,9221.597196342713
1010251,4425.545492694599
1010290,8422.87138808437
1010291,9253.811989272006
1010292,9867.044462943668
1040125,7853.941527160638
1040126,7457.546366913553
1050122,10366.453087312271
1050123,9717.766595742507
1060250,3925.828663359842
1060251,9982.92249350735
1060253,8755.09300050159
1060255,9019.356960949815
1060256,3847.22928055472
1080199,4587.561311078133
1080200,9119.451606154576
1080201,5462.999092913219
1080202,10336.302277536044
1080203,4419.957033154297
1090196,7847.496951236901
1090197,7598.922458650783
1100173,7000.906429140384
1100175,9289.216028795505
1100177,5157.038299848282
1100180,7004.3892426108805
1100181,9416.716978762672
110126,7417.637379441786
110127,7513.242213198497
1110255,8663.782606483206
1110256,9018.461313807382
1120164,14690.568670375247
1120165,14798.45990600374
1140039,4324.964926079166
1140040,4586.1232086599475
1160097,3278.192030804649
1160110,8877.00339630964
1160111,8744.931880535283
1170140,5338.623851279693
1170157,3796.3797090519292
1170167,8243.636106647104
1170168,19128.26530588
1170170,9494.77421418241
1170171,11895.918069891415
1170172,7770.380276950295
1190077,9231.046765693382
1190078,11746.036136571505
1190079,8156.634720870915
1190080,10707.481148053712
1200141,6495.084418055597
1200143,8331.034139642901
1200144,4319.430016589588
1210042,2079.0664493552617
1210048,2857.8426300754495
1210050,1903.155199145654
1210051,2581.8858881755114
1310066,12254.918587940809
1310077,11329.330367118344
1320061,10047.969434138684
1320082,10042.042263871708
1340342,7213.813446715927
1340343,13162.068805524894
1340344,18577.079605004827
1340345,19650.36953876431
1340346,22189.092978199642
1340347,18612.930829090517
1340348,19686.220762850007
1340349,4753.849320053523
1340350,22224.94420228534
1340351,4735.020137754105
1340352,7492.280212824037
1340355,13611.86202971808
1370128,18758.01364313147
1370131,11399.208777301192
1370132,15149.744124956262
1370134,16620.61374614291
1370135,12845.723535401341
1370136,11504.28798852374
140137,13719.370789783574
140138,13878.850366110415
150216,4855.331331223772
150217,5311.108380846775
150218,3072.537875887009
150247,7614.111932892841
150248,5159.554431010506
150249,7027.838549676794
150250,7742.939385370807
150251,5640.3913780958455
150252,3213.3924725614725
150253,6495.727077521004
160282,7106.293811806658
160288,7838.251260016218
160293,6907.331924194763
160295,7883.082343633369
160296,10777.27853239138
160298,8406.594624092639
160301,10664.512303494737
160302-1,4603.609140691702
160302-2,3956.0501960538263
160305,10685.862300727316
170110,4939.3667996169315
170111,4705.256607271383
1710019,14013.99096857853
180077,7412.995209856339
180078,7616.759950295907
190284,6134.599288337793
190285,9613.580732041908
190286,6730.551314270897
190287,10526.097762099685
190288,6105.707908851661
190289-1,2724.3674450247768
190289-2,6618.904351419961
190290,5840.098361028089
190291,11482.452831575521
1910078,16362.897657804104
1910079,15722.728708607934
1920050,15980.935894655455
1920051,10475.835376480964
1930065,13967.65589454762
1930066,14338.589381265127
1940080,10732.018436372322
1940081,9958.494750914288
2010082,3300.233099220951
2010085,4695.42352751786
2010086,4695.42352751786
2010087,3755.000512392653
2010088,4315.671256886573
2010089,3733.7466757954953
2020072,4672.495277913486
2020073,4029.434979551509
2100076,3559.2188979621956
2100077,3553.263862063484
2100100,8952.326589578151
2100103,8445.121596047902
2100108,15411.208518635945
210120,5975.713569284726
210126,6058.22308685863
210128-1,6012.16699201465
210128-2,5975.713569284726
210129-1,6322.540719568999
210129-2,5463.051786868267
2110140,4624.436611861516
2110142,8763.111151751307
2110143,10243.798306993518
2150159,6201.632930767296
2150164,10806.931644792898
2150165,9135.762783370044
2150166,13304.826072938264
2150170,11416.245561993055
2150171,9573.349014417021
2150172,13666.773117721694
2150177,6009.1896119731
2160135,2777.505254363716
2160138,10220.430978673552
2160139,9355.03782267606
2160140,10605.591439875096
2160141,3705.167783359848
2160144,6018.574408795153
2160145,6424.2099979301465
2170103,5485.852946310886
2170112,15859.861923328412
2170113,15088.436507689623
2170114,16768.898125734908
2200121,12249.521435917151
2200122,16717.29746209317
2200125,11927.163453385936
220235,8444.412402792048
220236,8230.220949962588
220237-1,8444.412402792048
220237-2,3808.6419123328424
220238,5139.413045364987
220239,9404.017433571304
2220109,12295.39225875266
2220111,10084.392564532533
2220112,11275.407614144906
2220113,12121.576148591592
2250163,8434.687954088935
2250166,8961.430311359163
2250168,6414.66719396941
2250169,6919.395232086982
2260032,10760.027824899293
2260033,9959.443341467379
2300146,20418.60349099317
2300147,19188.17841295102
2300148,19612.01646261245
2300149,19994.76544133173
230193,7637.171258985083
230194,5854.377803648319
230195,4513.357747093394
230196,6985.978749873355
230202,8110.7259889661555
2360067,11725.526355999478
2360068,12664.027700384775
2360069,8364.815613832166
2360070,7726.691882576188
2380227,19590.1809975011
2380228,18038.690942905578
